Relative abundance	Group	tax
0.091984807329	Health	Rothia
0.0368957168705	Carries	Rothia
0.114479120225	Carries	Rothia
0.0965753339218	Carries	Rothia
0.04722069819	Health	Rothia
0.166977238638	Carries	Rothia
0.121135961766	Carries	Rothia
0.0623342975905	Carries	Rothia
0.177037918381	Health	Rothia
0.0758212147425	Carries	Rothia
0.192340991366	Carries	Rothia
0.0953383653422	Health	Rothia
0.0799110684234	Carries	Rothia
0.191455706848	Carries	Rothia
0.159112094418	Carries	Rothia
0.140898208509	Health	Rothia
0.23634325678	Health	Rothia
0.156150835065	Carries	Rothia
0.195422967631	Carries	Rothia
0.20331112059	Health	Rothia
0.226907912221	Health	Rothia
0.132075715718	Carries	Rothia
0.0567764767379	Carries	Rothia
0.0414060094983	Carries	Rothia
0.0529775960014	Carries	Rothia
0.0637858068408	Health	Rothia
0.0385780190033	Carries	Rothia
0.151928455341	Health	Rothia
0.371792877911	Carries	Rothia
0.0523593872819	Carries	Rothia
0.213854044877	Health	Rothia
0.0738453143103	Health	Rothia
0.110039409977	Carries	Rothia
0.0384621474733	Carries	Rothia
0.118260912978	Health	Rothia
0.167210823376	Carries	Rothia
0.135183851247	Health	Rothia
0.0165108535452	Carries	Rothia
0.178057830332	Health	Rothia
0.152667184284	Health	Rothia
0.0909252103958	Health	Rothia
0.0649858973452	Health	Rothia
0.080705030512	Health	Streptococcus
0.193200314578	Carries	Streptococcus
0.114614370084	Health	Streptococcus
0.223187947212	Carries	Streptococcus
0.390820555731	Carries	Streptococcus
0.068284403823	Carries	Streptococcus
0.0590541681786	Health	Streptococcus
0.0905906844449	Carries	Streptococcus
0.0799880689706	Carries	Streptococcus
0.0798548216506	Carries	Streptococcus
0.0896433932453	Health	Streptococcus
0.215942857932	Carries	Streptococcus
0.0756370530458	Carries	Streptococcus
0.171662737603	Health	Streptococcus
0.122515357452	Carries	Streptococcus
0.081991806873	Carries	Streptococcus
0.0531041874161	Carries	Streptococcus
0.100205396318	Health	Streptococcus
0.109027871961	Health	Streptococcus
0.080538238937	Carries	Streptococcus
0.134300542901	Carries	Streptococcus
0.0655192847063	Health	Streptococcus
0.0581611170935	Health	Streptococcus
0.166197819042	Carries	Streptococcus
0.102330199082	Carries	Streptococcus
0.0877044493791	Carries	Streptococcus
0.072029404717	Carries	Streptococcus
0.0846166668154	Health	Streptococcus
0.0533827337059	Carries	Streptococcus
0.0712883078698	Health	Streptococcus
0.222747886739	Carries	Streptococcus
0.124459077922	Carries	Streptococcus
0.170968090766	Health	Streptococcus
0.129790543518	Health	Streptococcus
0.075441001749	Carries	Streptococcus
0.0821415710363	Carries	Streptococcus
0.163203711939	Health	Streptococcus
0.0941488314826	Carries	Streptococcus
0.0596670763546	Health	Streptococcus
0.166667547265	Carries	Streptococcus
0.179710003491	Health	Streptococcus
0.0986061233434	Health	Streptococcus
0.171648004363	Health	Streptococcus
0.0972590903263	Health	Streptococcus
0.147805971335	Health	Veillonella
0.0719766161662	Carries	Veillonella
0.0384761086359	Health	Veillonella
0.0591723927135	Carries	Veillonella
0.0310310758767	Carries	Veillonella
0.138827802778	Carries	Veillonella
0.0306427806705	Health	Veillonella
0.192213833603	Carries	Veillonella
0.0981821945159	Carries	Veillonella
0.138156684856	Carries	Veillonella
0.00706826909621	Health	Veillonella
0.148649919923	Carries	Veillonella
0.100486785632	Carries	Veillonella
0.06811022088	Health	Veillonella
0.0877594314013	Carries	Veillonella
0.0728890017002	Carries	Veillonella
0.0184932312995	Carries	Veillonella
0.0672277185742	Health	Veillonella
0.112383943149	Health	Veillonella
0.0968428393612	Carries	Veillonella
0.0724979252083	Carries	Veillonella
0.074372014208	Health	Veillonella
0.0563010970907	Health	Veillonella
0.068594301487	Carries	Veillonella
0.0386452791091	Carries	Veillonella
0.0976283905344	Carries	Veillonella
0.0901498777086	Carries	Veillonella
0.0467260653657	Health	Veillonella
0.104441601078	Carries	Veillonella
0.0177216643078	Health	Veillonella
0.026280044967	Carries	Veillonella
0.161716814553	Carries	Veillonella
0.133294109194	Health	Veillonella
0.143231149193	Health	Veillonella
0.128064899789	Carries	Veillonella
0.309068548576	Carries	Veillonella
0.0463418553182	Health	Veillonella
